source_page,published_date,title,url
13,2022-07-06,菱田正和アニメーション監督／演出家 ②職業監督としての自分を確立した『プリティー』シリーズ,https://febri.jp/febri_talk/hishida_masakazu_2/
13,2022-07-08,菱田正和アニメーション監督／演出家 ③「絶対にやらなければならない仕事」だった『半妖の夜叉姫』,https://febri.jp/febri_talk/hishida_masakazu_3/
14,2022-05-30,岩浪美和音響監督 ①映画らしいリアルな音を追求した『ガールズ＆パンツァー 劇場版』,https://febri.jp/febri_talk/yoshikazu_iwanami_1/
14,2022-06-01,岩浪美和音響監督 ②映画館でしか体験できない音響を初めて提供できた『BLAME!』,https://febri.jp/febri_talk/yoshikazu_iwanami_2/
14,2022-06-03,岩浪美和音響監督 ③吉浦康裕監督の才能に驚いた『アイの歌声を聴かせて』,https://febri.jp/febri_talk/yoshikazu_iwanami_3/
14,2022-06-06,桃井はるこシンガーソングライター／声優 ①アニメとアイドルが融合した衝撃『ハイスクール！奇面組』,https://febri.jp/febri_talk/momoi_haruko_1/
14,2022-06-08,桃井はるこシンガーソングライター／声優 ②青春時代のタイムカプセル『パーフェクトブルー』,https://febri.jp/febri_talk/momoi_haruko_2/
14,2022-06-10,桃井はるこシンガーソングライター／声優 ③ 声優＆音楽家としての転機『魔女っ娘つくねちゃん』,https://febri.jp/febri_talk/momoi_haruko_3/
14,2022-06-13,鈴木健一アニメーション監督 ①アニメーションの動きの魅力を知った『ルパン三世 カリオストロの城』,https://febri.jp/febri_talk/kenichi_suzuki_1/
14,2022-06-15,鈴木健一アニメーション監督 ②出﨑統監督の神演出に惚れた『あしたのジョー2』の美しさ,https://febri.jp/febri_talk/kenichi_suzuki_2/
14,2022-06-17,鈴木健一アニメーション監督 ③アムロとシャアのドラマに魅了された『機動戦士ガンダム』劇場版三部作,https://febri.jp/febri_talk/kenichi_suzuki_3/
15,2022-05-09,土屋理敬脚本家 ①ヒーローに近づけたような気がした『タイガーマスク』,https://febri.jp/febri_talk/tsuchiya_michihiro_1/
15,2022-05-11,土屋理敬脚本家 ②女の子を描く面白さに気づかされた『わがまま☆フェアリー ミルモでポン！』,https://febri.jp/febri_talk/tsuchiya_michihiro_2/
15,2022-05-13,土屋理敬脚本家 ③長年の夢がかなった『劇場版MAJOR メジャー 友情の一球』,https://febri.jp/febri_talk/tsuchiya_michihiro_3/
